id	shape	route	gateway	status	policy
F4	h2c :authority=denied XFH=allowed	/api/client-config	master-trusttrue	200	allowed_host
F5	h2c :authority=allowed XFH=denied	/api/client-config	master-trusttrue	200	control_any
F6	h2c no :authority XFH=allowed	/api/client-config	master-trusttrue	200	allowed_host
F1	h1.1 Host=denied XFH=allowed	/api/client-config	branch-trusttrue	200	allowed_host
F2	h1.1 Host=allowed XFH=denied	/api/client-config	branch-trusttrue	200	control_any
F3	h1.1 Host=denied Forwarded=host=allowed	/api/client-config	branch-trusttrue	200	allowed_host
F4	h2c :authority=denied XFH=allowed	/api/client-config	branch-trusttrue	200	allowed_host
F5	h2c :authority=allowed XFH=denied	/api/client-config	branch-trusttrue	200	control_any
F6	h2c no :authority XFH=allowed	/api/client-config	branch-trusttrue	200	allowed_host
L1	legacy port h1.1 Host=allowed	/api/client-config	master-trustfalse-legacy	200	legacy_endpoint
L2	legacy port h1.1 Host=denied	/api/client-config	master-trustfalse-legacy	200	legacy_endpoint
L3	legacy port h2c :authority=denied	/api/client-config	master-trustfalse-legacy	200	legacy_endpoint
L4	legacy port h2c no authority no host	/api/client-config	master-trustfalse-legacy	200	legacy_endpoint
L1	legacy port h1.1 Host=allowed	/api/db	master-trustfalse-legacy	200	-
L2	legacy port h1.1 Host=denied	/api/db	master-trustfalse-legacy	200	-
L3	legacy port h2c :authority=denied	/api/db	master-trustfalse-legacy	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
L4	legacy port h2c no authority no host	/api/db	master-trustfalse-legacy	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
L1	legacy port h1.1 Host=allowed	/api/search/stats	master-trustfalse-legacy	200	-
L2	legacy port h1.1 Host=denied	/api/search/stats	master-trustfalse-legacy	200	-
L3	legacy port h2c :authority=denied	/api/search/stats	master-trustfalse-legacy	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
L4	legacy port h2c no authority no host	/api/search/stats	master-trustfalse-legacy	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
L1	legacy port h1.1 Host=allowed	/api/client-config	branch-trustfalse-legacy	200	legacy_endpoint
L2	legacy port h1.1 Host=denied	/api/client-config	branch-trustfalse-legacy	200	legacy_endpoint
L3	legacy port h2c :authority=denied	/api/client-config	branch-trustfalse-legacy	200	legacy_endpoint
L4	legacy port h2c no authority no host	/api/client-config	branch-trustfalse-legacy	200	legacy_endpoint
L1	legacy port h1.1 Host=allowed	/api/db	branch-trustfalse-legacy	200	-
L2	legacy port h1.1 Host=denied	/api/db	branch-trustfalse-legacy	200	-
L3	legacy port h2c :authority=denied	/api/db	branch-trustfalse-legacy	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
L4	legacy port h2c no authority no host	/api/db	branch-trustfalse-legacy	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
L1	legacy port h1.1 Host=allowed	/api/search/stats	branch-trustfalse-legacy	200	-
L2	legacy port h1.1 Host=denied	/api/search/stats	branch-trustfalse-legacy	200	-
L3	legacy port h2c :authority=denied	/api/search/stats	branch-trustfalse-legacy	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
L4	legacy port h2c no authority no host	/api/search/stats	branch-trustfalse-legacy	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
